chain_name,chain_id
Abstract,324
Animechain,372
Ape,312
Aptos,108
Arbitrum,110
Arbitrum Nova,175
Astar zkEVM,257
Avalanche,106
BSC,102
BOB,279
Bahamut,363
Base,184
Beam,198
Berachain,362
Bevm,317
Bitlayer,314
Blast,243
Bouncebit,293
Canto,159
Celo,125
Codex,323
Concrete,366
Conflux eSpace,212
CoreDAO,153
Corn,331
Cronos EVM,359
Cronos zkEVM,360
Cyber,283
DFK,115
DM2 Verse,315
DOS Chain,149
Degen,267
Dexalot,118
EDU Chain,328
Flow EVM,336
Ethereum,101
Etherlink,292
Fantom,112
Flare,295
Fraxtal,255
Fuse,138
Glue,342
Gnosis,145
Goat,361
Gravity,294
Gunz,371
Harmony,116
Hedera,316
Hemi,329
Homeverse,265
Horizen EON,215
HyperEVM,367
Ink,339
Japan Open Chain,285
Kaia,150
Kava,177
Lens,373
Lightlink,309
Linea,183
Lisk,321
Loot,197
Lyra,311
Manta,217
Mantle,181
Merlin,266
Meter,176
Metis,151
Mode,260
Moonbeam,126
Moonriver,167
Morph,322
Aurora,211
Nibiru,369
OKX,155
Optimism,111
Orderly,213
Otherworld Space,341
Peaq,302
Plume,370
Polygon,109
Polygon zkEVM,158
Rari Chain,235
Reya,313
Rootstock,333
Sanko,278
Scroll,214
Sei,280
Shimmer,230
Skale,273
Soneium,340
Sonic Mainnet,332
Sophon,334
Story,364
Subtensor EVM,374
Superposition,327
Swell,335
Taiko,290
TelosEVM,199
Tenet,173
Tiltyard,238
Unichain,320
Vana,330
Viction,196
Worldchain,319
XChain,291
XDC,365
XLayer,274
XPLA,216
Xai,236
Zircuit,303
Zora,195
inEVM,234
opBNB,202
re.al,237
zkLink,301
zkSync Era,165
